,,gcp_file,id,url,annotation_output,gcp_output
BHdV_PL_ATL20Ardt_1900_0002,planche_1,bhdv_atlas_municipal_1900/planche_1.points,atlas_municipal_1900_bhdv_1,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0002.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0002.json,
BHdV_PL_ATL20Ardt_1900_0003,planche_2,bhdv_atlas_municipal_1900/planche_2.points,atlas_municipal_1900_bhdv_2,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0003.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0003.json,
BHdV_PL_ATL20Ardt_1900_0004,planche_3,bhdv_atlas_municipal_1900/planche_3.points,atlas_municipal_1900_bhdv_3,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0004.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0004.json,
BHdV_PL_ATL20Ardt_1900_0005,planche_4,bhdv_atlas_municipal_1900/planche_4.points,atlas_municipal_1900_bhdv_4,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0005.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0005.json,
BHdV_PL_ATL20Ardt_1900_0006,planche_5,bhdv_atlas_municipal_1900/planche_5.points,atlas_municipal_1900_bhdv_5,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0006.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0006.json,
BHdV_PL_ATL20Ardt_1900_0007,planche_6,bhdv_atlas_municipal_1900/planche_6.points,atlas_municipal_1900_bhdv_6,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0007.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0007.json,
BHdV_PL_ATL20Ardt_1900_0008,planche_7,bhdv_atlas_municipal_1900/planche_7.points,atlas_municipal_1900_bhdv_7,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0008.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0008.json,
BHdV_PL_ATL20Ardt_1900_0009,planche_8,bhdv_atlas_municipal_1900/planche_8.points,atlas_municipal_1900_bhdv_8,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0009.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0009.json,
BHdV_PL_ATL20Ardt_1900_0010,planche_9,bhdv_atlas_municipal_1900/planche_9.points,atlas_municipal_1900_bhdv_9,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0010.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0010.json,
BHdV_PL_ATL20Ardt_1900_0011,planche_10,bhdv_atlas_municipal_1900/planche_10.points,atlas_municipal_1900_bhdv_10,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0011.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0011.json,
BHdV_PL_ATL20Ardt_1900_0012,planche_11,bhdv_atlas_municipal_1900/planche_11.points,atlas_municipal_1900_bhdv_11,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0012.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0012.json,
BHdV_PL_ATL20Ardt_1900_0013,planche_12,bhdv_atlas_municipal_1900/planche_12.points,atlas_municipal_1900_bhdv_12,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0013.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0013.json,
BHdV_PL_ATL20Ardt_1900_0014,planche_13,bhdv_atlas_municipal_1900/planche_13.points,atlas_municipal_1900_bhdv_13,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0014.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0014.json,
BHdV_PL_ATL20Ardt_1900_0015,planche_14,bhdv_atlas_municipal_1900/planche_14.points,atlas_municipal_1900_bhdv_14,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0015.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0015.json,
BHdV_PL_ATL20Ardt_1900_0016,planche_15,bhdv_atlas_municipal_1900/planche_15.points,atlas_municipal_1900_bhdv_15,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0016.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0016.json,
BHdV_PL_ATL20Ardt_1900_0017,planche_16,bhdv_atlas_municipal_1900/planche_16.points,atlas_municipal_1900_bhdv_16,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1900_0017.jpg,output/bhdv_atlas_municipal_1900/BHdV_PL_ATL20Ardt_1900_0017.json,
